timestamp	0::5::pos	0::3::pos	0::2::pos	0::47::pos	0::50::pos	0::23::pos	0::32::pos	0::8::pos	0::27::pos	0::49::pos	0::45::pos	0::5::ori	0::3::ori	0::2::ori	0::47::ori	0::50::ori	0::23::ori	0::32::ori	0::8::ori	0::27::ori	0::49::ori	0::45::ori
2024-10-15 19:24:27.849	[0.25984302163124084, -1.0041228532791138, 1.4923689365386963]	[0.2597547471523285, -1.0229787826538086, 1.1215848922729492]	[0.2782961130142212, -1.0237994194030762, 0.882222056388855]	[0.28710904717445374, -0.8970433473587036, 0.10390198975801468]	[0.21116647124290466, -1.2201844453811646, 0.1573563516139984]	[0.4767465591430664, -0.6563544869422913, 1.1096346378326416]	[0.6187307834625244, -1.1206408739089966, 1.0919125080108643]	[0.15426522493362427, -0.780339241027832, 1.0594687461853027]	[0.3362290859222412, -1.2636973857879639, 1.0664050579071045]	[0.3056598901748657, -1.1503832340240479, 0.5080267786979675]	[0.25512999296188354, -0.9077114462852478, 0.5032380819320679]	[0.00842602364718914, 0.09580715000629425, 0.7987553477287292, 0.5939190983772278]	[-0.03976293280720711, -0.030091220512986183, 0.7961796522140503, 0.60300213098526]	[-0.031439490616321564, -0.022534865885972977, 0.7856355905532837, 0.6174792051315308]	[-0.030450990423560143, 0.01887175440788269, 0.7011004090309143, 0.7121621966362]	[-0.02149996906518936, -0.04243604466319084, 0.8619075417518616, 0.5048291087150574]	[-0.22620829939842224, -0.1659848839044571, 0.14002680778503418, 0.9495638608932495]	[0.14324253797531128, -0.0028369969222694635, -0.9591326117515564, 0.24400483071804047]	[-0.08904256671667099, -0.07205618172883987, 0.11788811534643173, 0.9863983392715454]	[0.024855822324752808, -0.11720806360244751, 0.9786946773529053, -0.1667373925447464]	[0.042085614055395126, 0.15532651543617249, 0.7736196517944336, 0.6128745079040527]	[0.1284598708152771, 0.07687307894229889, 0.7641769051551819, 0.6273932456970215]
2024-10-15 19:24:27.860	[0.2600333094596863, -1.0040912628173828, 1.4923304319381714]	[0.25990381836891174, -1.0229536294937134, 1.12155282497406]	[0.27842649817466736, -1.023766040802002, 0.8821936845779419]	[0.28713005781173706, -0.8970546722412109, 0.1038837879896164]	[0.21118289232254028, -1.2201766967773438, 0.15734949707984924]	[0.47691866755485535, -0.6565331816673279, 1.1093851327896118]	[0.6188099980354309, -1.1207462549209595, 1.0917232036590576]	[0.15435580909252167, -0.7803964614868164, 1.0594158172607422]	[0.3362680673599243, -1.2637382745742798, 1.0663752555847168]	[0.3057909309864044, -1.1503543853759766, 0.5079847574234009]	[0.2552642524242401, -0.9076943397521973, 0.5032004714012146]	[0.008386030793190002, 0.09606174379587173, 0.7985031008720398, 0.5942175984382629]	[-0.03971299156546593, -0.030073093250393867, 0.7961277365684509, 0.603074848651886]	[-0.03139754384756088, -0.022526584565639496, 0.785599946975708, 0.6175268888473511]	[-0.03036004677414894, 0.018866954371333122, 0.7010870575904846, 0.7121793031692505]	[-0.021447356790304184, -0.04237455129623413, 0.8619042634963989, 0.5048421621322632]	[-0.22641891241073608, -0.1656210869550705, 0.1398828774690628, 0.9495982527732849]	[0.1430530995130539, -0.0029831374995410442, -0.9591729640960693, 0.24395523965358734]	[-0.08922607451677322, -0.07181518524885178, 0.11771644651889801, 0.9864199161529541]	[0.02506111189723015, -0.11704735457897186, 0.9787367582321167, -0.16657193005084991]	[0.04218539595603943, 0.15545228123664856, 0.7735754251480103, 0.612891674041748]	[0.12854567170143127, 0.07701221108436584, 0.7640984654426575, 0.6274541020393372]
2024-10-15 19:24:27.870	[0.26038676500320435, -1.0040326118469238, 1.4922888278961182]	[0.2601942718029022, -1.0229077339172363, 1.121543288230896]	[0.27869629859924316, -1.0237061977386475, 0.882175624370575]	[0.2871386408805847, -0.8970526456832886, 0.10388118028640747]	[0.21119728684425354, -1.2201850414276123, 0.157353013753891]	[0.4771448075771332, -0.6567031741142273, 1.1091481447219849]	[0.618880033493042, -1.1208454370498657, 1.0915621519088745]	[0.15460580587387085, -0.780434250831604, 1.0593892335891724]	[0.3362915813922882, -1.263759970664978, 1.0663479566574097]	[0.30586063861846924, -1.1503480672836304, 0.5079704523086548]	[0.25533565878868103, -0.9076801538467407, 0.503189742565155]	[0.008283433504402637, 0.09663357585668564, 0.7980700135231018, 0.5947080254554749]	[-0.039639078080654144, -0.03007815033197403, 0.796009361743927, 0.6032357811927795]	[-0.03134159371256828, -0.022526569664478302, 0.785513162612915, 0.6176400780677795]	[-0.03031616099178791, 0.018969673663377762, 0.7010615468025208, 0.7122034430503845]	[-0.021422438323497772, -0.04239470884203911, 0.8619210720062256, 0.5048128366470337]	[-0.22659114003181458, -0.16517919301986694, 0.1396968960762024, 0.9496615529060364]	[0.14284317195415497, -0.0029848837293684483, -0.9592247009277344, 0.243875190615654]	[-0.08959883451461792, -0.07121382653713226, 0.11729981750249863, 0.9864792823791504]	[0.025262773036956787, -0.11704474687576294, 0.9787616729736328, -0.166397362947464]	[0.04222738742828369, 0.15551845729351044, 0.7735441327095032, 0.6129114031791687]	[0.1286039501428604, 0.07707444578409195, 0.7640325427055359, 0.6275148987770081]
2024-10-15 19:24:27.881	[0.260566383600235, -1.0039931535720825, 1.4922709465026855]	[0.260347843170166, -1.0228729248046875, 1.1215505599975586]	[0.2788567543029785, -1.0236644744873047, 0.8821740746498108]	[0.2871590852737427, -0.8970633149147034, 0.10386722534894943]	[0.21119734644889832, -1.2201893329620361, 0.15737557411193848]	[0.4776313304901123, -0.6570563316345215, 1.1086519956588745]	[0.6190417408943176, -1.1210604906082153, 1.091256856918335]	[0.15476271510124207, -0.7804421186447144, 1.0593843460083008]	[0.3363337218761444, -1.263776183128357, 1.0662809610366821]	[0.30600571632385254, -1.1503204107284546, 0.5079474449157715]	[0.2554785907268524, -0.9076672196388245, 0.5031667947769165]	[0.00826147012412548, 0.09689000993967056, 0.797842800617218, 0.5949712991714478]	[-0.03961432725191116, -0.030096767470240593, 0.795940101146698, 0.603327751159668]	[-0.03134072944521904, -0.022548755630850792, 0.7854577302932739, 0.6177100539207458]	[-0.03030058741569519, 0.019001197069883347, 0.7011097073554993, 0.7121559977531433]	[-0.021337654441595078, -0.04235905408859253, 0.8619245886802673, 0.5048133134841919]	[-0.227165088057518, -0.16438224911689758, 0.1392723172903061, 0.9497251510620117]	[0.1423761397600174, -0.0028761192224919796, -0.9593663215637207, 0.2435920387506485]	[-0.08988814055919647, -0.07091553509235382, 0.11704768240451813, 0.9865044355392456]	[0.025638088583946228, -0.11719389259815216, 0.9788024425506592, -0.1659942865371704]	[0.04234597459435463, 0.15568417310714722, 0.773474931716919, 0.612948477268219]	[0.12868431210517883, 0.07723399251699448, 0.7639390826225281, 0.6275925636291504]
2024-10-15 19:24:27.892	[0.2609112560749054, -1.003915786743164, 1.4922199249267578]	[0.2606516480445862, -1.0228184461593628, 1.1215360164642334]	[0.27916812896728516, -1.0236238241195679, 0.8821482062339783]	[0.2871864438056946, -0.8970972299575806, 0.10383356362581253]	[0.2112179398536682, -1.2201787233352661, 0.15738099813461304]	[0.47817081212997437, -0.657413899898529, 1.1082453727722168]	[0.6191878318786621, -1.1212613582611084, 1.091017484664917]	[0.15508706867694855, -0.780402421951294, 1.0594003200531006]	[0.3363588750362396, -1.2637625932693481, 1.0661883354187012]	[0.3061697781085968, -1.1503056287765503, 0.5079132318496704]	[0.2556513845920563, -0.9076667428016663, 0.5031249523162842]	[0.008124003186821938, 0.09734279662370682, 0.7975064516067505, 0.5953502655029297]	[-0.039576224982738495, -0.030097512528300285, 0.7958031892776489, 0.6035107970237732]	[-0.031366366893053055, -0.02253899537026882, 0.7853745818138123, 0.6178146600723267]	[-0.03017282485961914, 0.01912190206348896, 0.7010752558708191, 0.7121919989585876]	[-0.021304992958903313, -0.042298149317502975, 0.8619391918182373, 0.5047948360443115]	[-0.2275565266609192, -0.16375970840454102, 0.138787642121315, 0.9498098492622375]	[0.14205992221832275, -0.0026664447505027056, -0.959503173828125, 0.24323998391628265]	[-0.09025820344686508, -0.07028011232614517, 0.1164621040225029, 0.9865853786468506]	[0.025903716683387756, -0.1174473837018013, 0.9788323640823364, -0.1655973494052887]	[0.042489636689424515, 0.15581709146499634, 0.77342289686203, 0.6129704713821411]	[0.1288047879934311, 0.07738639414310455, 0.7638593912124634, 0.6276460886001587]
2024-10-15 19:24:27.903	[0.2610923647880554, -1.0038682222366333, 1.4921801090240479]	[0.2608042359352112, -1.0227643251419067, 1.1215132474899292]	[0.2793154716491699, -1.0235671997070312, 0.8821273446083069]	[0.2872108817100525, -0.8971045017242432, 0.1038055419921875]	[0.21123149991035461, -1.2201602458953857, 0.15738165378570557]	[0.478451132774353, -0.6575725078582764, 1.108034372329712]	[0.6192517280578613, -1.121341586112976, 1.0909122228622437]	[0.15526849031448364, -0.7803716659545898, 1.0593901872634888]	[0.3363649845123291, -1.2637304067611694, 1.0661213397979736]	[0.3062395453453064, -1.1502768993377686, 0.5078965425491333]	[0.2557380497455597, -0.9076497554779053, 0.5031037330627441]	[0.008077742531895638, 0.09758803248405457, 0.7973603010177612, 0.5955063700675964]	[-0.03953670337796211, -0.030107703059911728, 0.7957330346107483, 0.6036053895950317]	[-0.031352803111076355, -0.022539392113685608, 0.7853160500526428, 0.6178898811340332]	[-0.030068689957261086, 0.01914416067302227, 0.7010797262191772, 0.7121914029121399]	[-0.0213180985301733, -0.04225366935133934, 0.8619347810745239, 0.5048053860664368]	[-0.22779053449630737, -0.16353458166122437, 0.1385612040758133, 0.949825644493103]	[0.14198899269104004, -0.002585321431979537, -0.9595602750778198, 0.2430567592382431]	[-0.09049824625253677, -0.06996918469667435, 0.11617104709148407, 0.9866198301315308]	[0.02597719430923462, -0.11754655838012695, 0.978852391242981, -0.16539686918258667]	[0.04253210499882698, 0.1558806300163269, 0.7733755111694336, 0.6130111813545227]	[0.12883234024047852, 0.07747656852006912, 0.7638034820556641, 0.6276973485946655]
2024-10-15 19:24:27.914	[0.261468768119812, -1.0037592649459839, 1.4921331405639648]	[0.261147677898407, -1.0226686000823975, 1.1215012073516846]	[0.2796264886856079, -1.0234806537628174, 0.882107675075531]	[0.28723180294036865, -0.8971179723739624, 0.10378335416316986]	[0.21124690771102905, -1.220156192779541, 0.15738928318023682]	[0.47903257608413696, -0.6578510403633118, 1.1078307628631592]	[0.6193709969520569, -1.121454119682312, 1.0907212495803833]	[0.15567965805530548, -0.7802749872207642, 1.059385061264038]	[0.336380273103714, -1.2636408805847168, 1.0660139322280884]	[0.3063880205154419, -1.1502370834350586, 0.5078717470169067]	[0.25588953495025635, -0.9076260924339294, 0.5030786991119385]	[0.007930389605462551, 0.09793457388877869, 0.7971206903457642, 0.5957721471786499]	[-0.03950801119208336, -0.030112672597169876, 0.7955968976020813, 0.6037863492965698]	[-0.031307198107242584, -0.022487040609121323, 0.7852222919464111, 0.6180130839347839]	[-0.029924975708127022, 0.01934690587222576, 0.7010547518730164, 0.7122166752815247]	[-0.02124374359846115, -0.042190756648778915, 0.8619412779808044, 0.5048028230667114]	[-0.22826489806175232, -0.1637316197156906, 0.1378064900636673, 0.9497876763343811]	[0.1417640894651413, -0.0024777469225227833, -0.9596573710441589, 0.2428056299686432]	[-0.09107165783643723, -0.06950747221708298, 0.11563330888748169, 0.9866629242897034]	[0.026100557297468185, -0.11771611124277115, 0.9788932800292969, -0.1650141030550003]	[0.04263843968510628, 0.15602421760559082, 0.7733106017112732, 0.6130490303039551]	[0.1289246678352356, 0.0776343047618866, 0.763649582862854, 0.6278460025787354]
2024-10-15 19:24:27.926	[0.2616576850414276, -1.003709077835083, 1.4921135902404785]	[0.26133885979652405, -1.0226149559020996, 1.1215236186981201]	[0.2799566388130188, -1.0233957767486572, 0.8821205496788025]	[0.2872440218925476, -0.8971322178840637, 0.10377728939056396]	[0.21127188205718994, -1.2201305627822876, 0.1574176549911499]	[0.47929760813713074, -0.6579642295837402, 1.1077852249145508]	[0.6194166541099548, -1.1215009689331055, 1.0906500816345215]	[0.15587873756885529, -0.7802242636680603, 1.0594030618667603]	[0.3363736867904663, -1.263585090637207, 1.0659599304199219]	[0.30646005272865295, -1.1502184867858887, 0.5078779458999634]	[0.255972295999527, -0.9076234102249146, 0.5030800104141235]	[0.007771271746605635, 0.09829186648130417, 0.7969059348106384, 0.5960027575492859]	[-0.039521537721157074, -0.03017367236316204, 0.7954161763191223, 0.6040205359458923]	[-0.031214626505970955, -0.02239955961704254, 0.7850868105888367, 0.6181930303573608]	[-0.029819535091519356, 0.01932782679796219, 0.7010635137557983, 0.712212860584259]	[-0.021192388609051704, -0.04207778349518776, 0.861941397190094, 0.5048142075538635]	[-0.22843244671821594, -0.16391612589359283, 0.1374961882829666, 0.9497604966163635]	[0.14163973927497864, -0.0024126428179442883, -0.9597042798995972, 0.24269329011440277]	[-0.09152980148792267, -0.06919649243354797, 0.11522424221038818, 0.9866902232170105]	[0.026115909218788147, -0.11783456057310104, 0.9789109826087952, -0.1648222804069519]	[0.04268345236778259, 0.1560758352279663, 0.7732710838317871, 0.6130828261375427]	[0.128962442278862, 0.07772910594940186, 0.7635858058929443, 0.6279041171073914]
2024-10-15 19:24:27.937	[0.2620380222797394, -1.0036031007766724, 1.4920700788497925]	[0.26174765825271606, -1.022519588470459, 1.121565341949463]	[0.28011804819107056, -1.0233550071716309, 0.8821271657943726]	[0.28726738691329956, -0.8971457481384277, 0.10376644134521484]	[0.21128123998641968, -1.2201229333877563, 0.15743836760520935]	[0.47986140847206116, -0.6581030488014221, 1.1077078580856323]	[0.619530200958252, -1.121559500694275, 1.0905245542526245]	[0.15635764598846436, -0.7801539301872253, 1.059386968612671]	[0.3363988697528839, -1.2634745836257935, 1.0658621788024902]	[0.3066084682941437, -1.150186538696289, 0.507856011390686]	[0.2561139166355133, -0.9076158404350281, 0.5030598640441895]	[0.007712069433182478, 0.0984160304069519, 0.7968244552612305, 0.5960920453071594]	[-0.03954373300075531, -0.0301959328353405, 0.7953051924705505, 0.6041640043258667]	[-0.031147202476859093, -0.02231604978442192, 0.7850168347358704, 0.6182884573936462]	[-0.02975914068520069, 0.0194099061191082, 0.7011027932167053, 0.7121745944023132]	[-0.021120712161064148, -0.04198311269283295, 0.8619680404663086, 0.5047797560691833]	[-0.22877800464630127, -0.16420024633407593, 0.13703425228595734, 0.9496949911117554]	[0.1414685994386673, -0.002204328775405884, -0.9597962498664856, 0.24243128299713135]	[-0.09172182530164719, -0.06910976022481918, 0.11507353186607361, 0.9866960048675537]	[0.02618609368801117, -0.11810895055532455, 0.9789255857467651, -0.16452784836292267]	[0.04280075430870056, 0.15622839331626892, 0.7731987237930298, 0.613126814365387]	[0.129038006067276, 0.07788809388875961, 0.7634496092796326, 0.6280345916748047]
2024-10-15 19:24:27.949	[0.2624327540397644, -1.0034903287887573, 1.4920064210891724]	[0.2621709108352661, -1.0224025249481201, 1.121579885482788]	[0.2804501950740814, -1.0232676267623901, 0.882125973701477]	[0.28728681802749634, -0.8971515893936157, 0.1037590354681015]	[0.21130947768688202, -1.2201166152954102, 0.15745705366134644]	[0.4801729619503021, -0.6581531167030334, 1.1076464653015137]	[0.6195902824401855, -1.121564507484436, 1.0904804468154907]	[0.15688803791999817, -0.7800336480140686, 1.0593156814575195]	[0.33640778064727783, -1.2633763551712036, 1.0658146142959595]	[0.3067004382610321, -1.1501673460006714, 0.5078548192977905]	[0.25619447231292725, -0.9076032042503357, 0.503055214881897]	[0.0076031796634197235, 0.0985969752073288, 0.7966176867485046, 0.5963398814201355]	[-0.03960057348012924, -0.030250729992985725, 0.7950519323348999, 0.6044908761978149]	[-0.031028669327497482, -0.02215784415602684, 0.7848469614982605, 0.6185155510902405]	[-0.02963525801897049, 0.019498061388731003, 0.7010595798492432, 0.7122198343276978]	[-0.021049361675977707, -0.04193216562271118, 0.8619656562805176, 0.5047909021377563]	[-0.2289661318063736, -0.16428981721401215, 0.13684983551502228, 0.9496607184410095]	[0.1413395255804062, -0.001991987694054842, -0.9598474502563477, 0.24230556190013885]	[-0.09202445298433304, -0.06901579350233078, 0.11473140865564346, 0.986714243888855]	[0.02621239423751831, -0.11837425082921982, 0.9789230823516846, -0.16434770822525024]	[0.042852647602558136, 0.15630027651786804, 0.7731636166572571, 0.6131492257118225]	[0.1290835291147232, 0.07795627415180206, 0.763359785079956, 0.6281259655952454]
