timestamp	1::5::pos	1::23::pos	1::2::pos	1::47::pos	1::11::pos	1::27::pos	1::49::pos	1::8::pos	1::45::pos	1::50::pos	1::5::ori	1::23::ori	1::2::ori	1::47::ori	1::11::ori	1::27::ori	1::49::ori	1::8::ori	1::45::ori	1::50::ori
2024-08-27 15:27:55.503	[0.04864440858364105, 1.4869109392166138, -0.08073727786540985]	[-0.1710255891084671, 0.7163630127906799, -0.15327420830726624]	[0.07216300070285797, 0.8583634495735168, -0.03256390243768692]	[-0.1290067881345749, 0.010598033666610718, -0.1185334175825119]	[-0.16658328473567963, 0.8100519776344299, -0.18568234145641327]	[0.29061686992645264, 1.0093410015106201, -0.04459037631750107]	[0.1832757592201233, 0.5761017799377441, -0.03331213444471359]	[-0.1462751030921936, 1.0067394971847534, -0.03069332428276539]	[-0.0618949830532074, 0.5842608213424683, -0.02553475648164749]	[0.238005593419075, 0.08176124095916748, 0.06146194785833359]	[-0.06049533188343048, 0.9331095218658447, -0.09599263966083527, -0.34122195839881897]	[-0.641181468963623, 0.6215336918830872, 0.44918930530548096, -0.028482092544436455]	[0.008793155662715435, 0.9989683628082275, -0.020507680252194405, -0.03955218568444252]	[0.08696644008159637, 0.9789183735847473, -0.022043555974960327, 0.18349361419677734]	[-0.5615788102149963, 0.7646452784538269, 0.05824612081050873, 0.3107316195964813]	[0.6513890027999878, 0.7456743717193604, 0.1111375093460083, -0.08550233393907547]	[-0.0551304928958416, 0.9940396547317505, -0.09370774030685425, 0.008048098534345627]	[-0.6773955821990967, 0.6764395236968994, 0.2877705991268158, 0.027440322563052177]	[0.10153522342443466, 0.9934630990028381, -0.02281344123184681, -0.046916961669921875]	[-0.010058224201202393, 0.9753000140190125, -0.04407742619514465, 0.21620823442935944]
2024-08-27 15:27:55.515	[0.04862640053033829, 1.486922264099121, -0.08070766180753708]	[-0.17104734480381012, 0.7163428664207458, -0.15320797264575958]	[0.07215912640094757, 0.8583768606185913, -0.032509829849004745]	[-0.12900254130363464, 0.010617412626743317, -0.118533194065094]	[-0.16660472750663757, 0.8100296258926392, -0.18562230467796326]	[0.2906636595726013, 1.0093389749526978, -0.04489372298121452]	[0.1832779347896576, 0.5761139392852783, -0.03320261836051941]	[-0.1462753713130951, 1.0067389011383057, -0.030674302950501442]	[-0.06189671531319618, 0.5842627882957458, -0.02543671987950802]	[0.23799921572208405, 0.08175307512283325, 0.061470337212085724]	[-0.06054289638996124, 0.9330925345420837, -0.09616490453481674, -0.34121137857437134]	[-0.6411513090133667, 0.6215569972991943, 0.4491977095603943, -0.02852102741599083]	[0.008778244256973267, 0.9989697337150574, -0.02054532989859581, -0.0395023413002491]	[0.08697105944156647, 0.9789300560951233, -0.022036487236618996, 0.18342995643615723]	[-0.5615734457969666, 0.7646695971488953, 0.05824105441570282, 0.3106825649738312]	[0.6509515643119812, 0.7459316849708557, 0.11294058710336685, -0.08421632647514343]	[-0.05513988062739372, 0.994047999382019, -0.09359502047300339, 0.00825286004692316]	[-0.6773726940155029, 0.6764807105064392, 0.28773733973503113, 0.027339795604348183]	[0.10151655972003937, 0.9934689998626709, -0.022739967331290245, -0.04686802998185158]	[-0.010065555572509766, 0.9753011465072632, -0.044029295444488525, 0.21621231734752655]
2024-08-27 15:27:55.526	[0.048601020127534866, 1.4869444370269775, -0.08065515756607056]	[-0.17105379700660706, 0.7163281440734863, -0.15314386785030365]	[0.07214366644620895, 0.858399510383606, -0.0323885902762413]	[-0.12899453938007355, 0.010628856718540192, -0.11853891611099243]	[-0.166578471660614, 0.809999942779541, -0.1854945570230484]	[0.29072585701942444, 1.0093529224395752, -0.045174162834882736]	[0.18327535688877106, 0.5761228203773499, -0.03314985707402229]	[-0.14626500010490417, 1.006748080253601, -0.03062688373029232]	[-0.06190197169780731, 0.5842684507369995, -0.025387916713953018]	[0.23800113797187805, 0.08175262808799744, 0.06147175654768944]	[-0.06058897078037262, 0.9330170154571533, -0.09660947322845459, -0.34128424525260925]	[-0.6411405205726624, 0.6215744614601135, 0.4491896331310272, -0.028507815673947334]	[0.008759678341448307, 0.99897301197052, -0.02059798873960972, -0.0393957756459713]	[0.08694444596767426, 0.978931188583374, -0.022048993036150932, 0.18343473970890045]	[-0.561553418636322, 0.7646622061729431, 0.058180004358291626, 0.3107483983039856]	[0.6505464911460876, 0.7461450695991516, 0.11467641592025757, -0.08310317993164062]	[-0.055149227380752563, 0.9940521121025085, -0.0935402512550354, 0.008311979472637177]	[-0.6773857474327087, 0.6765530705451965, 0.2875460088253021, 0.027237839996814728]	[0.10150878131389618, 0.9934731721878052, -0.022694680839776993, -0.046819280833005905]	[-0.010038652457296848, 0.9753068685531616, -0.04402494803071022, 0.2161889374256134]
2024-08-27 15:27:55.538	[0.04859211668372154, 1.4869717359542847, -0.08060848712921143]	[-0.17098242044448853, 0.7163119912147522, -0.15300801396369934]	[0.07214365154504776, 0.8584218621253967, -0.03232477232813835]	[-0.12898464500904083, 0.010617822408676147, -0.11852613091468811]	[-0.1665184199810028, 0.8099964261054993, -0.18542613089084625]	[0.2908876836299896, 1.009397268295288, -0.04574916139245033]	[0.18327829241752625, 0.5761258006095886, -0.033095479011535645]	[-0.14624719321727753, 1.0067678689956665, -0.030595198273658752]	[-0.06189799681305885, 0.5842727422714233, -0.025280963629484177]	[0.23801182210445404, 0.08174711465835571, 0.06147751212120056]	[-0.06057153642177582, 0.9329723119735718, -0.09683218598365784, -0.3413464426994324]	[-0.641239583492279, 0.6215978860855103, 0.44902411103248596, -0.028377702459692955]	[0.008750395849347115, 0.9989751577377319, -0.020603764802217484, -0.03934025019407272]	[0.08698370307683945, 0.978944718837738, -0.02212238684296608, 0.18333476781845093]	[-0.5615738034248352, 0.764613926410675, 0.05807185173034668, 0.31085073947906494]	[0.6498165726661682, 0.7464312314987183, 0.11842414736747742, -0.08096098154783249]	[-0.0551614835858345, 0.9940559267997742, -0.09348849207162857, 0.008367007598280907]	[-0.6774234771728516, 0.67658531665802, 0.2873793840408325, 0.027255602180957794]	[0.10149016976356506, 0.9934805631637573, -0.022613532841205597, -0.04674219712615013]	[-0.009998105466365814, 0.9753062725067139, -0.04403086006641388, 0.21619243919849396]
2024-08-27 15:27:55.549	[0.048580825328826904, 1.4869956970214844, -0.08057518303394318]	[-0.17091673612594604, 0.7163026332855225, -0.15294331312179565]	[0.07214336842298508, 0.8584358096122742, -0.03226575255393982]	[-0.12900234758853912, 0.010615646839141846, -0.1185324415564537]	[-0.16644646227359772, 0.8099845051765442, -0.18536807596683502]	[0.290958046913147, 1.0094335079193115, -0.04603137820959091]	[0.1832813322544098, 0.5761322975158691, -0.03299882635474205]	[-0.14622551202774048, 1.0067787170410156, -0.030567018315196037]	[-0.06189359724521637, 0.5842663049697876, -0.025233592838048935]	[0.2380150407552719, 0.08173555135726929, 0.061479296535253525]	[-0.06052926927804947, 0.9329476356506348, -0.09704074263572693, -0.34136223793029785]	[-0.641318678855896, 0.6216088533401489, 0.4488995671272278, -0.028318915516138077]	[0.00873763207346201, 0.9989767670631409, -0.020608486607670784, -0.03930012509226799]	[0.08703825622797012, 0.9789384603500366, -0.02214982733130455, 0.183339461684227]	[-0.5616105794906616, 0.7645580768585205, 0.05795985460281372, 0.3109423518180847]	[0.6495533585548401, 0.7464488744735718, 0.12035137414932251, -0.08006373047828674]	[-0.055163949728012085, 0.9940646290779114, -0.09339125454425812, 0.008405298925936222]	[-0.6774752736091614, 0.6765990257263184, 0.28722232580184937, 0.02728309854865074]	[0.10148286819458008, 0.9934847950935364, -0.02257094718515873, -0.04668758064508438]	[-0.009976393543183804, 0.9753111600875854, -0.04396643489599228, 0.21618406474590302]
2024-08-27 15:27:55.561	[0.04857570677995682, 1.487047553062439, -0.08050612360239029]	[-0.17070557177066803, 0.7162861227989197, -0.15279647707939148]	[0.07216028869152069, 0.8584750890731812, -0.03214406222105026]	[-0.129006028175354, 0.010610654950141907, -0.1185278594493866]	[-0.1662394404411316, 0.8099671006202698, -0.18522417545318604]	[0.29107898473739624, 1.0095021724700928, -0.046596039086580276]	[0.18329164385795593, 0.5761384963989258, -0.03295329213142395]	[-0.14613839983940125, 1.0067973136901855, -0.030472531914711]	[-0.061881761997938156, 0.5842724442481995, -0.02518804930150509]	[0.23802430927753448, 0.08173665404319763, 0.061499133706092834]	[-0.060437992215156555, 0.9328870177268982, -0.0974113941192627, -0.3414383828639984]	[-0.6415198445320129, 0.6215529441833496, 0.44869598746299744, -0.028215525671839714]	[0.008713108487427235, 0.9989787340164185, -0.020610231906175613, -0.03925251215696335]	[0.08712664991617203, 0.9789242148399353, -0.02221604809165001, 0.18336552381515503]	[-0.561728298664093, 0.7644039392471313, 0.0578155517578125, 0.31113559007644653]	[0.6492231488227844, 0.7463049292564392, 0.12389425188302994, -0.07866731286048889]	[-0.05515897274017334, 0.994067370891571, -0.09336760640144348, 0.00836736336350441]	[-0.6776162981987, 0.6765711307525635, 0.28695231676101685, 0.027315521612763405]	[0.10148873925209045, 0.9934874773025513, -0.022530067712068558, -0.04663779214024544]	[-0.009969756938517094, 0.9753227829933167, -0.04392846301198006, 0.21614006161689758]
2024-08-27 15:27:55.572	[0.048575542867183685, 1.4870538711547852, -0.08046089112758636]	[-0.17056214809417725, 0.7162384986877441, -0.1527349054813385]	[0.07215496152639389, 0.8584847450256348, -0.032082997262477875]	[-0.12900803983211517, 0.01061372458934784, -0.11853683739900589]	[-0.16611742973327637, 0.8099216222763062, -0.18515945971012115]	[0.29116740822792053, 1.0095278024673462, -0.04688144847750664]	[0.18328382074832916, 0.5761503577232361, -0.03287750482559204]	[-0.14604374766349792, 1.0067689418792725, -0.030442366376519203]	[-0.061877451837062836, 0.584281861782074, -0.02511306293308735]	[0.23801246285438538, 0.08173289895057678, 0.06149550527334213]	[-0.06039474904537201, 0.9328653216362, -0.0975855141878128, -0.3414556086063385]	[-0.6415701508522034, 0.6214777231216431, 0.4487249255180359, -0.028269901871681213]	[0.008719644509255886, 0.9989791512489319, -0.02059939317405224, -0.039247773587703705]	[0.08718812465667725, 0.978925883769989, -0.022217942401766777, 0.1833270937204361]	[-0.5617994070053101, 0.7643550038337708, 0.05787963420152664, 0.31111544370651245]	[0.6490839123725891, 0.7462249398231506, 0.12533792853355408, -0.0782875344157219]	[-0.055147890001535416, 0.9940757155418396, -0.09329156577587128, 0.00830350536853075]	[-0.6776738166809082, 0.6765279769897461, 0.28692981600761414, 0.027193192392587662]	[0.10147210955619812, 0.9934931993484497, -0.022457296028733253, -0.04658940061926842]	[-0.009917356073856354, 0.9753190875053406, -0.04390654340386391, 0.21616359055042267]
2024-08-27 15:27:55.583	[0.048578523099422455, 1.4870648384094238, -0.0804174542427063]	[-0.17042669653892517, 0.7162279486656189, -0.15265201032161713]	[0.07216490060091019, 0.8584962487220764, -0.032007623463869095]	[-0.12899784743785858, 0.010622330009937286, -0.11853983998298645]	[-0.1659977287054062, 0.8099141120910645, -0.18507009744644165]	[0.2912595272064209, 1.0095568895339966, -0.04717539623379707]	[0.18328994512557983, 0.5761538147926331, -0.03283277526497841]	[-0.1459789276123047, 1.0067659616470337, -0.030360372737050056]	[-0.06187145411968231, 0.5842867493629456, -0.025068961083889008]	[0.23801873624324799, 0.08172979950904846, 0.06150539591908455]	[-0.060354746878147125, 0.9328417778015137, -0.09773460775613785, -0.34148430824279785]	[-0.6416643261909485, 0.6213976740837097, 0.4487019181251526, -0.028258563950657845]	[0.008709120564162731, 0.9989792704582214, -0.02059057727456093, -0.0392521433532238]	[0.08713306486606598, 0.9789261221885681, -0.022238504141569138, 0.18334951996803284]	[-0.5618738532066345, 0.7642747163772583, 0.057901814579963684, 0.3111742436885834]	[0.6489760875701904, 0.746123194694519, 0.12661509215831757, -0.07809589058160782]	[-0.05514318123459816, 0.9940794110298157, -0.0932593122124672, 0.008256372064352036]	[-0.677753746509552, 0.6764681935310364, 0.2868833541870117, 0.02717917412519455]	[0.1014804020524025, 0.9934952259063721, -0.02241247519850731, -0.046547774225473404]	[-0.009924202226102352, 0.9753190875053406, -0.04389773681759834, 0.21616484224796295]
2024-08-27 15:27:55.595	[0.048592470586299896, 1.4871078729629517, -0.0803438127040863]	[-0.17007490992546082, 0.716156005859375, -0.15249884128570557]	[0.072184719145298, 0.8585318922996521, -0.031864993274211884]	[-0.12899743020534515, 0.010623767971992493, -0.11854474246501923]	[-0.16570277512073517, 0.8098483681678772, -0.1849064826965332]	[0.2913210093975067, 1.0095899105072021, -0.04747467860579491]	[0.18329599499702454, 0.5761566162109375, -0.03279462084174156]	[-0.1457677036523819, 1.0067329406738281, -0.030261488631367683]	[-0.06186429783701897, 0.5842897891998291, -0.025035325437784195]	[0.23802028596401215, 0.08172532916069031, 0.06150804087519646]	[-0.06022423505783081, 0.9328380227088928, -0.09801285713911057, -0.34143781661987305]	[-0.6418320536613464, 0.6211835741996765, 0.4487510621547699, -0.028373733162879944]	[0.008701955899596214, 0.9989818334579468, -0.020562700927257538, -0.03920372948050499]	[0.08713344484567642, 0.9789273738861084, -0.02224571444094181, 0.18334148824214935]	[-0.5620771050453186, 0.7641178369522095, 0.05805540829896927, 0.31116384267807007]	[0.6490523219108582, 0.7455703616142273, 0.12960390746593475, -0.07783844321966171]	[-0.05513583868741989, 0.9940832257270813, -0.09322503209114075, 0.008231651969254017]	[-0.6779106855392456, 0.6763394474983215, 0.2868393063545227, 0.026930294930934906]	[0.10148285329341888, 0.9934967756271362, -0.02237647958099842, -0.04652801528573036]	[-0.009886852465569973, 0.9753203392028809, -0.04387698695063591, 0.2161649465560913]
2024-08-27 15:27:55.606	[0.048590920865535736, 1.4871156215667725, -0.08031071722507477]	[-0.1698998510837555, 0.7161128520965576, -0.15242460370063782]	[0.07219622284173965, 0.8585399389266968, -0.031796906143426895]	[-0.129006028175354, 0.01063014566898346, -0.11854268610477448]	[-0.16555705666542053, 0.8098113536834717, -0.18481868505477905]	[0.2914184629917145, 1.009657382965088, -0.048046037554740906]	[0.18331407010555267, 0.5761661529541016, -0.032704684883356094]	[-0.1456698775291443, 1.0067017078399658, -0.030194340273737907]	[-0.06185174733400345, 0.5843009948730469, -0.02498004585504532]	[0.23802919685840607, 0.08171755075454712, 0.06151242181658745]	[-0.0601453073322773, 0.9328396916389465, -0.09813053160905838, -0.3414134085178375]	[-0.6419180631637573, 0.6210542321205139, 0.44880515336990356, -0.028406256809830666]	[0.008697887882590294, 0.9989829659461975, -0.020558061078190804, -0.03917698562145233]	[0.08723249286413193, 0.9789162874221802, -0.02226964756846428, 0.18335090577602386]	[-0.5621674060821533, 0.7640357613563538, 0.05816926062107086, 0.3111809194087982]	[0.6491400003433228, 0.7452472448348999, 0.13102272152900696, -0.07782618701457977]	[-0.055125996470451355, 0.9940917491912842, -0.09313914179801941, 0.00823602918535471]	[-0.6779995560646057, 0.6762561202049255, 0.2868358790874481, 0.026822883635759354]	[0.10148999094963074, 0.9934971928596497, -0.022323913872241974, -0.046526964753866196]	[-0.009869500994682312, 0.9753243923187256, -0.04380461573600769, 0.21616226434707642]
